Source,Target,Type,Id,Label,Weight
Arya-Stark,Robert-Baratheon,Undirected,349,,17
Aerys-II-Targaryen,Robert-Baratheon,Undirected,101,,35
Rodrik-Cassel,Roose-Bolton,Undirected,2652,,4
Petyr-Baelish,Roose-Bolton,Undirected,2480,,3
Melisandre,Samwell-Tarly,Undirected,2333,,7
Craster,Samwell-Tarly,Undirected,1040,,48
Bran-Stark,Samwell-Tarly,Undirected,668,,11
Sandor-Clegane,Tommen-Baratheon,Undirected,2696,,5
Petyr-Baelish,Sandor-Clegane,Undirected,2481,,3
Myrcella-Baratheon,Sandor-Clegane,Undirected,2391,,4
Lem,Sandor-Clegane,Undirected,2150,,5
Balon-Swann,Sandor-Clegane,Undirected,459,,3
Sansa-Stark,Tommen-Baratheon,Undirected,2702,,13
Sandor-Clegane,Sansa-Stark,Undirected,2692,,53
Robert-Arryn,Sansa-Stark,Undirected,2631,,17
Pycelle,Sansa-Stark,Undirected,2510,,8
Podrick-Payne,Sansa-Stark,Undirected,2494,,7
Petyr-Baelish,Sansa-Stark,Undirected,2482,,61
Myrcella-Baratheon,Sansa-Stark,Undirected,2392,,18
Lysa-Arryn,Sansa-Stark,Undirected,2235,,41
Jory-Cassel,Sansa-Stark,Undirected,2092,,9
Gregor-Clegane,Sansa-Stark,Undirected,1559,,5
Melisandre,Selyse-Florent,Undirected,2334,,26
Stannis-Baratheon,Wyman-Manderly,Undirected,2754,,19
Stannis-Baratheon,Tommen-Baratheon,Undirected,2747,,16
Stannis-Baratheon,Theon-Greyjoy,Undirected,2746,,10
Selyse-Florent,Stannis-Baratheon,Undirected,2716,,41
Sansa-Stark,Stannis-Baratheon,Undirected,2699,,11
Samwell-Tarly,Stannis-Baratheon,Undirected,2689,,37
Roose-Bolton,Stannis-Baratheon,Undirected,2666,,18
Robert-Baratheon,Stannis-Baratheon,Undirected,2637,,68
Renly-Baratheon,Stannis-Baratheon,Undirected,2579,,110
Ramsay-Snow,Stannis-Baratheon,Undirected,2555,,8
Pycelle,Stannis-Baratheon,Undirected,2512,,12
Petyr-Baelish,Stannis-Baratheon,Undirected,2483,,8
Myrcella-Baratheon,Stannis-Baratheon,Undirected,2393,,3
Melisandre,Stannis-Baratheon,Undirected,2336,,87
Mance-Rayder,Stannis-Baratheon,Undirected,2277,,16
Mace-Tyrell,Stannis-Baratheon,Undirected,2251,,12
Lysa-Arryn,Stannis-Baratheon,Undirected,2236,,4
Jory-Cassel,Stannis-Baratheon,Undirected,2093,,3
Jon-Snow,Stannis-Baratheon,Undirected,2039,,91
Jon-Arryn,Stannis-Baratheon,Undirected,1987,,13
Janos-Slynt,Stannis-Baratheon,Undirected,1880,,4
Davos-Seaworth,Stannis-Baratheon,Undirected,1188,,131
Brienne-of-Tarth,Stannis-Baratheon,Undirected,727,,5
Balon-Greyjoy,Stannis-Baratheon,Undirected,443,,8
Asha-Greyjoy,Stannis-Baratheon,Undirected,396,,16
Aemon-Targaryen-(Maester-Aemon),Stannis-Baratheon,Undirected,65,,12
Theon-Greyjoy,Wyman-Manderly,Undirected,2785,,3
Theon-Greyjoy,Victarion-Greyjoy,Undirected,2777,,3
Roose-Bolton,Theon-Greyjoy,Undirected,2667,,14
Rodrik-Cassel,Theon-Greyjoy,Undirected,2653,,21
Ramsay-Snow,Theon-Greyjoy,Undirected,2556,,101
Jory-Cassel,Theon-Greyjoy,Undirected,2094,,3
Bran-Stark,Theon-Greyjoy,Undirected,672,,64
Benjen-Stark,Theon-Greyjoy,Undirected,561,,4
Balon-Greyjoy,Theon-Greyjoy,Undirected,444,,30
Asha-Greyjoy,Theon-Greyjoy,Undirected,398,,48
Edmure-Tully,Tommen-Baratheon,Undirected,1384,,4
Tyrion-Lannister,Yoren,Undirected,2808,,10
Tyrion-Lannister,Varys,Undirected,2801,,107
Tyrion-Lannister,Tywin-Lannister,Undirected,2799,,117
Tommen-Baratheon,Tyrion-Lannister,Undirected,2791,,26
Theon-Greyjoy,Tyrion-Lannister,Undirected,2774,,3
Stannis-Baratheon,Tyrion-Lannister,Undirected,2749,,52
Sansa-Stark,Tyrion-Lannister,Undirected,2703,,118
Sandor-Clegane,Tyrion-Lannister,Undirected,2697,,25
Roose-Bolton,Tyrion-Lannister,Undirected,2668,,6
Rodrik-Cassel,Tyrion-Lannister,Undirected,2654,,10
Robert-Baratheon,Tyrion-Lannister,Undirected,2641,,42
Robert-Arryn,Tyrion-Lannister,Undirected,2633,,9
Robb-Stark,Tyrion-Lannister,Undirected,2621,,44
Renly-Baratheon,Tyrion-Lannister,Undirected,2581,,23
Pycelle,Tyrion-Lannister,Undirected,2513,,33
Podrick-Payne,Tyrion-Lannister,Undirected,2495,,40
